dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,lat,lon,cross_street,weapon_used_cd,weapon_desc,crm_cd_2,crm_cd_3
100105210,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,0015,01,Central,0138,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0906,23,M,B,102,SIDEWALK,AA,Adult Arrest,624,2ND,34.0472,-118.2385,CENTRAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105213,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,0210,01,Central,0135,2,623,BATTERY POLICE (SIMPLE),1212,44,M,W,101,STREET,AA,Adult Arrest,623,100 W  4TH                          ST,34.0482,-118.2472,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105214,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,0210,01,Central,0135,2,623,BATTERY POLICE (SIMPLE),1212,30,M,H,101,STREET,AA,Adult Arrest,623,100 W  4TH                          ST,34.0482,-118.2472,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105215,2010-01-23T00:00:00.000,2010-01-22T00:00:00.000,2300,01,Central,0139,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0344 1609,26,M,H,101,STREET,IC,Invest Cont,745,800 E  1ST                          ST,34.0486,-118.2351,,,,,
100105264,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,0900,01,Central,0161,1,330,BURGLARY FROM VEHICLE,0344 0358 1307 1609,52,M,W,101,STREET,IC,Invest Cont,330,8TH                          ST,34.0487,-118.2627,FRANCISCO                    ST,,,,
100105216,2010-01-22T00:00:00.000,2010-01-22T00:00:00.000,2300,01,Central,0111,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0408,26,F,B,102,SIDEWALK,IC,Invest Cont,626,500 N  FIGUEROA                     ST,34.0617,-118.2469,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105217,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,0400,01,Central,0132,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,21,M,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,626,100 S  HOPE                         ST,34.0564,-118.2498,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105218,2010-01-22T00:00:00.000,2010-01-22T00:00:00.000,1830,01,Central,0195,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,23,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,626,1800 S  MAIN                         ST,34.0317,-118.2641,,,,,
100105220,2010-01-22T00:00:00.000,2010-01-22T00:00:00.000,1000,01,Central,0141,2,354,THEFT OF IDENTITY,0377,45,F,B,503,HOTEL,IC,Invest Cont,354,300 S  FIGUEROA                     ST,34.0551,-118.2545,,,,,
100105221,2010-01-23T00:00:00.000,2010-01-22T00:00:00.000,2000,01,Central,0111,1,320,"BURGLARY, ATTEMPTED",,49,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,320,800    BUNKER HILL                  AV,34.0637,-118.2440,,,,,
100105223,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,1330,01,Central,0191,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,30,M,H,102,SIDEWALK,IC,Invest Cont,341,FIGUEROA                     ST,34.0402,-118.2684,PICO                         BL,,,,
100105224,2010-01-23T00:00:00.000,2010-01-22T00:00:00.000,1335,01,Central,0185,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,54,M,H,405,CLOTHING STORE,IC,Invest Cont,341,900 S  LOS ANGELES                  ST,34.0407,-118.2541,,,,,
100105226,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,1150,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0416,26,F,W,405,CLOTHING STORE,IC,Invest Cont,624,300 E  5TH                          ST,34.0449,-118.2458,,500,UNKNOWN WEAPON/OTHER WEAPON,,
100105227,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,1210,01,Central,0155,2,946,OTHER MISCELLANEOUS CRIME,,20,M,H,101,STREET,IC,Invest Cont,946,500 S  LOS ANGELES                  ST,34.0461,-118.2476,,,,,
100105228,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,1210,01,Central,0155,2,946,OTHER MISCELLANEOUS CRIME,,18,M,H,101,STREET,IC,Invest Cont,946,500 S  LOS ANGELES                  ST,34.0461,-118.2476,,,,,
100105230,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,0230,01,Central,0111,1,330,BURGLARY FROM VEHICLE,0344 0358 1307 1609,26,F,O,108,PARKING LOT,IC,Invest Cont,330,500 N  FIGUEROA                     ST,34.0617,-118.2469,,,,,
100105231,2010-01-23T00:00:00.000,2010-01-21T00:00:00.000,1700,01,Central,0101,1,330,BURGLARY FROM VEHICLE,0344 1607,34,M,O,101,STREET,IC,Invest Cont,330,900 N  BEAUDRY                      AV,34.0674,-118.2468,,,,,
100105235,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,1845,01,Central,0185,1,210,ROBBERY,0416 0429 0906 1402,19,M,H,101,STREET,AA,Adult Arrest,210,HILL                         ST,34.0416,-118.2584,9TH                          ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",998,
100105238,2010-01-24T00:00:00.000,2010-01-23T00:00:00.000,0015,01,Central,0157,1,220,ATTEMPTED ROBBERY,0337 0344,26,M,H,101,STREET,IC,Invest Cont,220,7TH,34.0401,-118.2459,SAN PEDRO,500,UNKNOWN WEAPON/OTHER WEAPON,,
100105239,2010-01-24T00:00:00.000,2010-01-23T00:00:00.000,2250,01,Central,0118,2,946,OTHER MISCELLANEOUS CRIME,0906,0,F,W,102,SIDEWALK,AA,Adult Arrest,946,100    BLOOM                        ST,34.0652,-118.2306,,,,,
100105241,2010-01-24T00:00:00.000,2010-01-23T00:00:00.000,1845,01,Central,0162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,20,M,H,404,DEPARTMENT STORE,IC,Invest Cont,341,700 W  7TH                          ST,34.0480,-118.2577,,,,,
100105242,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,0015,01,Central,0156,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0346 1402,48,M,O,710,OTHER PREMISE,IC,Invest Cont,440,500 S  SAN PEDRO                    ST,34.0442,-118.2439,,,,998,
100105243,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,0015,01,Central,0156,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,55,M,B,710,OTHER PREMISE,IC,Invest Cont,440,500 S  SAN PEDRO                    ST,34.0442,-118.2439,,,,,
100105248,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,1100,01,Central,0147,2,624,BATTERY - SIMPLE ASSAULT,0416,50,M,B,101,STREET,AO,Adult Other,624,5TH,34.0442,-118.2439,SAN PEDRO,500,UNKNOWN WEAPON/OTHER WEAPON,,
100105249,2010-01-19T00:00:00.000,2010-01-18T00:00:00.000,1650,01,Central,0142,2,763,STALKING,0347,28,F,W,702,OFFICE BUILDING/OFFICE,IC,Invest Cont,763,300 S  FIGUEROA                     ST,34.0551,-118.2545,,,,,
100105250,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,1853,01,Central,0161,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,24,M,O,717,HEALTH SPA/GYM,IC,Invest Cont,440,700 S  FIGUEROA                     ST,34.0494,-118.2599,,,,,
100105251,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,0220,01,Central,0143,1,350,"THEFT, PERSON",0346,22,M,H,102,SIDEWALK,IC,Invest Cont,350,5TH,34.0488,-118.2518,HILL,,,,
100105253,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,0910,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0417 2000,31,F,B,102,SIDEWALK,IC,Invest Cont,624,500    SAN JULIAN                   ST,34.0446,-118.2450,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105254,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,2340,01,Central,0155,2,888,TRESPASSING,1501,0,M,O,503,HOTEL,IC,Invest Cont,888,200 E  6TH                          ST,34.0446,-118.2490,,,,,
100105255,2010-01-24T00:00:00.000,2010-01-23T00:00:00.000,2245,01,Central,0139,1,648,ARSON,1501,0,M,O,203,OTHER BUSINESS,IC,Invest Cont,648,600 E  1ST                          ST,34.0489,-118.2371,,,,,
100105257,2010-01-24T00:00:00.000,2010-01-23T00:00:00.000,2200,01,Central,0121,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,TEMPLE                       ST,34.0607,-118.2494,FREMONT                      AV,,,,
100105259,2010-01-24T00:00:00.000,2010-01-23T00:00:00.000,2000,01,Central,0182,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,IC,Invest Cont,510,PICO,34.0401,-118.2668,FLOWER,,,,
100105260,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,0930,01,Central,0143,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,5TH                          ST,34.0478,-118.2502,SPRING                       ST,,,,
100105261,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,1200,01,Central,0156,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1402,58,M,H,102,SIDEWALK,IC,Invest Cont,440,SAN PEDRO,34.0423,-118.2452,6TH                          ST,,,998,
100105263,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,1300,01,Central,0112,2,624,BATTERY - SIMPLE ASSAULT,0419 0417,39,M,W,109,PARK/PLAYGROUND,IC,Invest Cont,624,300 N  LOS ANGELES                  ST,34.0534,-118.2409,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105265,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,0930,01,Central,0166,1,210,ROBBERY,0344 0400 0416 0429,44,F,B,101,STREET,AA,Adult Arrest,210,6TH                          ST,34.0428,-118.2461,WALL                         ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105267,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,0200,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0416 0417,44,M,W,102,SIDEWALK,IC,Invest Cont,624,7TH                          ST,34.0480,-118.2577,HOPE                         ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105268,2010-01-24T00:00:00.000,2010-01-21T00:00:00.000,2130,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,53,F,B,503,HOTEL,IC,Invest Cont,230,1300 E  7TH                          ST,34.0368,-118.2412,,212,BOTTLE,,
100105270,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,1140,01,Central,0138,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),,37,M,H,402,MARKET,IC,Invest Cont,442,300 S  ALAMEDA                      ST,34.0455,-118.2381,,,,,
100105274,2010-01-24T00:00:00.000,2010-01-23T00:00:00.000,0810,01,Central,0146,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 1813,35,F,H,203,OTHER BUSINESS,IC,Invest Cont,624,200 E  5TH                          ST,34.0461,-118.2476,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105275,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,0945,01,Central,0111,2,624,BATTERY - SIMPLE ASSAULT,0416 0913 1243 2000,32,M,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,624,600 N  HILL                         ST,34.0591,-118.2412,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105281,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,1800,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1217 1251,23,F,H,404,DEPARTMENT STORE,IC,Invest Cont,442,700 W  7TH                          ST,34.0480,-118.2577,,,,,
100105283,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,0335,01,Central,0158,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,51,M,B,503,HOTEL,AA,Adult Arrest,930,600    STANFORD                     AV,34.0408,-118.2428,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105284,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,0100,01,Central,0139,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,32,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,230,100 S  ALAMEDA                      ST,34.0490,-118.2381,,500,UNKNOWN WEAPON/OTHER WEAPON,,
100105285,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,0030,01,Central,0129,1,220,ATTEMPTED ROBBERY,0344,28,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,220,100 N  ALAMEDA                      ST,34.0490,-118.2381,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105286,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,0130,01,Central,0129,1,310,BURGLARY,,26,M,H,710,OTHER PREMISE,AA,Adult Arrest,310,100 N  ALAMEDA                      ST,34.0490,-118.2381,,,,,
100105289,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,2140,01,Central,0144,2,624,BATTERY - SIMPLE ASSAULT,0416,27,M,B,102,SIDEWALK,AO,Adult Other,624,5TH                          ST,34.0471,-118.2491,MAIN                         ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105290,2010-01-25T00:00:00.000,2010-01-24T00:00:00.000,1000,01,Central,0192,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,IC,Invest Cont,420,VENICE,34.0363,-118.2677,GRAND,,,,
100105291,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,1415,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0400,36,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,624,500    SAN JULIAN                   ST,34.0446,-118.2450,,500,UNKNOWN WEAPON/OTHER WEAPON,,
100105293,2010-01-24T00:00:00.000,2010-01-24T00:00:00.000,1715,01,Central,0162,1,220,ATTEMPTED ROBBERY,0416 0429,20,F,W,109,PARK/PLAYGROUND,IC,Invest Cont,220,9TH                          ST,34.0451,-118.2604,HOPE                         ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105294,2010-01-25T00:00:00.000,2010-01-17T00:00:00.000,2300,01,Central,0101,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,IC,Invest Cont,420,900    CENTENNIAL                   ST,34.0669,-118.2458,,,,,
100105300,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,1045,01,Central,0185,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400,31,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,626,100 E  9TH                          ST,34.0416,-118.2550,,,,,
100105302,2010-01-25T00:00:00.000,2010-01-22T00:00:00.000,1800,01,Central,0152,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,58,F,O,738,LIBRARY,IC,Invest Cont,440,600 W  5TH                          ST,34.0502,-118.2540,,,,,
100105304,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,0855,01,Central,0139,1,210,ROBBERY,0433,52,F,O,101,STREET,IC,Invest Cont,210,HEWITT                       ST,34.0458,-118.2361,3RD                          ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105307,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,1000,01,Central,0185,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1402,26,M,O,122,"VEHICLE, PASSENGER/TRUCK",AO,Adult Other,740,1100 S  LOS ANGELES                  ST,34.0384,-118.2571,,,,998,
100105309,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,0710,01,Central,0121,1,330,BURGLARY FROM VEHICLE,1608 1609,23,F,W,101,STREET,IC,Invest Cont,330,400 N  FIGUEROA                     ST,34.0598,-118.2485,,,,,
100105312,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,1430,01,Central,0153,2,624,BATTERY - SIMPLE ASSAULT,0416,32,M,O,503,HOTEL,AO,Adult Other,624,200 W  6TH                          ST,34.0460,-118.2509,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105313,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,1630,01,Central,0143,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1027,38,M,W,102,SIDEWALK,AO,Adult Other,230,5TH,34.0481,-118.2507,BROADWAY,218,OTHER CUTTING INSTRUMENT,,
100105314,2010-01-25T00:00:00.000,2010-01-11T00:00:00.000,1200,01,Central,0152,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,21,F,A,738,LIBRARY,IC,Invest Cont,341,600 W  5TH                          ST,34.0502,-118.2540,,,,,
100105315,2010-01-25T00:00:00.000,2010-01-23T00:00:00.000,2345,01,Central,0139,2,624,BATTERY - SIMPLE ASSAULT,0416,24,F,B,735,NIGHT CLUB (OPEN EVENINGS ONLY),IC,Invest Cont,624,700 E  3RD                          ST,34.0455,-118.2379,,500,UNKNOWN WEAPON/OTHER WEAPON,,
100105316,2010-01-25T00:00:00.000,2010-01-22T00:00:00.000,0900,01,Central,0185,2,649,DOCUMENT FORGERY / STOLEN FELONY,0344 0601,54,M,W,203,OTHER BUSINESS,IC,Invest Cont,649,100 W  9TH                          ST,34.0416,-118.2550,,,,,
100105317,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,1545,01,Central,0153,2,624,BATTERY - SIMPLE ASSAULT,0400,37,M,H,108,PARKING LOT,AO,Adult Other,624,500 S  HILL                         ST,34.0488,-118.2518,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105318,2010-01-25T00:00:00.000,2010-01-24T00:00:00.000,1500,01,Central,0119,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,29,F,H,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740,1400 N  MAGDALANA                    ST,34.0577,-118.2318,,,,,
100105319,2010-01-25T00:00:00.000,2010-01-23T00:00:00.000,1900,01,Central,0111,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1300,23,F,B,101,STREET,IC,Invest Cont,331,CESAR E CHAVEZ,34.0627,-118.2463,FIGUEROA,,,,
100105320,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,1000,01,Central,0152,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,61,M,W,102,SIDEWALK,IC,Invest Cont,440,600 W  5TH                          ST,34.0502,-118.2540,,,,,
100105321,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,1310,01,Central,0165,2,860,BATTERY WITH SEXUAL CONTACT,0305 0503 0522 2004,33,F,W,102,SIDEWALK,AO,Adult Other,860,6TH,34.0435,-118.2471,MAPLE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105326,2010-01-25T00:00:00.000,2010-01-25T00:00:00.000,1245,01,Central,0118,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0906 1100 1300 1402,45,F,A,108,PARKING LOT,IC,Invest Cont,740,1000 N  MAIN                         ST,34.0627,-118.2341,,,,,
100105340,2010-01-26T00:00:00.000,2010-01-26T00:00:00.000,0050,01,Central,0153,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0432,31,M,H,102,SIDEWALK,AO,Adult Other,230,5TH,34.0481,-118.2507,BROADWAY,210,RAZOR BLADE,,
100105341,2010-01-26T00:00:00.000,2010-01-26T00:00:00.000,0100,01,Central,0152,1,350,"THEFT, PERSON",0344,24,F,H,102,SIDEWALK,IC,Invest Cont,350,7TH,34.0480,-118.2577,HOPE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105347,2010-01-26T00:00:00.000,2010-01-17T00:00:00.000,1800,01,Central,0191,1,350,"THEFT, PERSON",0344,48,F,B,741,STAPLES CENTER *,IC,Invest Cont,350,1800 S  FIGUEROA                     ST,34.0355,-118.2714,,,,,
100105357,2010-01-20T00:00:00.000,2010-01-20T00:00:00.000,0900,01,Central,0139,1,330,BURGLARY FROM VEHICLE,0344 1609,25,M,W,101,STREET,IC,Invest Cont,330,TRACTION,34.0439,-118.2337,MERRICK,,,,
100105358,2010-01-26T00:00:00.000,2010-01-23T00:00:00.000,0730,01,Central,0165,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,34,M,B,203,OTHER BUSINESS,IC,Invest Cont,440,600    MAPLE                        AV,34.0439,-118.2479,,,,,
100105361,2010-01-26T00:00:00.000,2010-01-26T00:00:00.000,1200,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,23,M,B,203,OTHER BUSINESS,AA,Adult Arrest,440,700 W  7TH                          ST,34.0480,-118.2577,,,,,
100105363,2010-01-26T00:00:00.000,2010-01-26T00:00:00.000,1315,01,Central,0155,2,946,OTHER MISCELLANEOUS CRIME,1402,26,M,H,102,SIDEWALK,IC,Invest Cont,946,LOS ANGELES                  ST,34.0461,-118.2476,5TH                          ST,,,,
100105364,2010-01-26T00:00:00.000,2010-01-26T00:00:00.000,1615,01,Central,0121,2,860,BATTERY WITH SEXUAL CONTACT,0503 0522,39,F,B,702,OFFICE BUILDING/OFFICE,IC,Invest Cont,860,200 N  FIGUEROA                     ST,34.0584,-118.2513,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105366,2010-01-26T00:00:00.000,2010-01-26T00:00:00.000,0830,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0429,53,M,B,102,SIDEWALK,IC,Invest Cont,624,700 W  7TH                          ST,34.0480,-118.2577,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105371,2010-01-26T00:00:00.000,2010-01-26T00:00:00.000,1650,01,Central,0181,2,888,TRESPASSING,0329 1402,31,M,H,710,OTHER PREMISE,IC,Invest Cont,888,1100 S  FIGUEROA                     ST,34.0437,-118.2652,,,,998,
100105383,2010-01-26T00:00:00.000,2010-01-26T00:00:00.000,2230,01,Central,0138,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0408 2000,0,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,626,200 S  SAN PEDRO                    ST,34.0493,-118.2418,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100105389,2010-01-27T00:00:00.000,2010-01-25T00:00:00.000,1800,01,Central,0105,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,IC,Invest Cont,420,400    CASANOVA                     ST,34.0713,-118.2291,,,,,
100105393,2010-01-26T00:00:00.000,2010-01-21T00:00:00.000,1000,01,Central,0153,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,60,M,O,203,OTHER BUSINESS,IC,Invest Cont,341,6TH                          ST,34.0474,-118.2531,HILL                         ST,,,,
100105396,2010-01-27T00:00:00.000,2010-01-27T00:00:00.000,1300,01,Central,0174,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,35,M,O,101,STREET,IC,Invest Cont,331,7TH                          ST,34.0433,-118.2504,LOS ANGELES                  ST,,,,
100105397,2010-02-02T00:00:00.000,2010-02-02T00:00:00.000,2200,03,Southwest,0395,1,510,VEHICLE - STOLEN,,26,M,O,101,STREET,AO,Adult Other,510,1500 W  MARTIN LUTHER KING JR        BL,34.0109,-118.3051,,,,,
100105399,2010-01-27T00:00:00.000,2010-01-27T00:00:00.000,0830,01,Central,0118,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,300    BLOOM                        ST,34.0633,-118.2290,,,,,
100105404,2010-01-27T00:00:00.000,2010-01-26T00:00:00.000,1200,01,Central,0123,2,946,OTHER MISCELLANEOUS CRIME,0906,0,M,H,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",IC,Invest Cont,946,200 W  TEMPLE                       ST,34.0549,-118.2426,,,,,
100105406,2010-01-27T00:00:00.000,2010-01-26T00:00:00.000,1900,01,Central,0185,1,310,BURGLARY,0344,62,M,O,710,OTHER PREMISE,IC,Invest Cont,310,1000 S  BROADWAY,34.0409,-118.2574,,,,,
100105420,2010-01-27T00:00:00.000,2010-01-27T00:00:00.000,1615,01,Central,0185,2,624,BATTERY - SIMPLE ASSAULT,0416 1402,36,M,B,101,STREET,IC,Invest Cont,624,1100    MAPLE                        AV,34.0371,-118.2551,,204,FOLDING KNIFE,,
100105421,2010-01-27T00:00:00.000,2010-01-27T00:00:00.000,1615,01,Central,0185,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0416 1402,33,F,B,101,STREET,IC,Invest Cont,745,1100    MAPLE                        AV,34.0371,-118.2551,,204,FOLDING KNIFE,,
100105422,2010-01-27T00:00:00.000,2010-01-11T00:00:00.000,0800,01,Central,0153,2,649,DOCUMENT FORGERY / STOLEN FELONY,,55,F,O,203,OTHER BUSINESS,IC,Invest Cont,649,600 S  BROADWAY,34.0467,-118.2520,,,,,
100105424,2010-01-27T00:00:00.000,2010-01-26T00:00:00.000,1500,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,40,M,H,203,OTHER BUSINESS,IC,Invest Cont,440,800 S  GRAND                        AV,34.0459,-118.2579,,,,,
100105425,2010-01-27T00:00:00.000,2010-01-21T00:00:00.000,1500,01,Central,0195,2,354,THEFT OF IDENTITY,,31,M,B,203,OTHER BUSINESS,IC,Invest Cont,354,1600 S  BROADWAY,34.0342,-118.2636,,,,,
100105433,2010-01-27T00:00:00.000,2010-01-27T00:00:00.000,1335,01,Central,0181,1,330,BURGLARY FROM VEHICLE,0344 0358 1307 1609,24,M,W,108,PARKING LOT,IC,Invest Cont,330,1200 S  FIGUEROA                     ST,34.0423,-118.2666,,,,,
100105720,2010-02-03T00:00:00.000,2010-02-02T00:00:00.000,1030,01,Central,0195,2,928,THREATENING PHONE CALLS/LETTERS,,23,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,928,1800 S  MAIN                         ST,34.0317,-118.2641,,,,,
100105434,2010-01-27T00:00:00.000,2010-01-27T00:00:00.000,1215,01,Central,0185,2,624,BATTERY - SIMPLE ASSAULT,0400,42,M,O,710,OTHER PREMISE,IC,Invest Cont,624,1100 S  LOS ANGELES                  ST,34.0384,-118.2571,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
